r_in_px,r_out_px,r_mid_px,r_mid_arcsec,n_pix,model_c_median,model_full_crop_median,delta_model_median,delta_model_mean,delta_model_std,resid_model_c_median,resid_model_c_mean,resid_model_full_median,resid_model_full_mean
0.0,75.20458608797395,37.602293043986975,1.174188139217048,11704,162.80038078287845,162.80037689208984,1.2179469877082738e-08,2.204009708027797e-08,4.934215869029564e-06,-0.5423710925189482,-2.8698388263252372,-0.5423720284373985,-2.8698388483653337
75.20458608797395,150.4091721759479,112.80687913196093,3.5225644176511435,36996,83.04533726136995,83.04533767700195,-1.492573176165024e-09,1.2358188332813804e-08,2.284762536128237e-06,0.35211608457121457,0.043494687278491866,0.35211435290896276,0.0434946749203035
150.4091721759479,225.61375826392185,188.01146521993488,5.870940696085239,61662,50.35527342928376,50.35527420043945,-3.8550496128664236e-11,-3.903167326212728e-09,1.1784935507602274e-06,-0.04712385793115459,0.027781488456376686,-0.04712385581267142,0.02778149235954401
225.61375826392185,300.8183443518958,263.21605130790886,8.219316974519336,86330,33.209966870583145,33.2099666595459,1.3446523894344864e-09,1.129404290799378e-10,9.234123025406018e-07,-0.08166581231507841,-0.01136762697845667,-0.08166494878567399,-0.011367627091397098
300.8183443518958,376.02293043986975,338.42063739588275,10.567693252953429,110980,23.52770287089833,23.527703285217285,-3.260282710471074e-09,-1.703561480664292e-09,5.520686674243347e-07,-0.03490534205266904,0.024669769470901683,-0.03490525139059564,0.02466977117446316
376.02293043986975,451.2275165278437,413.62522348385676,12.916069531387528,135660,17.8152074549578,17.815207481384277,4.6509409656891876e-09,2.8895523071730883e-09,5.385521477730106e-07,-0.05637370065903191,0.011916445310643644,-0.05637394263904927,0.011916442421091336
451.2275165278437,526.4321026158177,488.8298095718307,15.264445809821623,160283,14.158384118548609,14.158384323120117,-1.4404015757918387e-09,-5.337661229700688e-10,2.755446366238216e-07,-0.06284307910663856,0.006341814575393023,-0.06284281809963232,0.006341815109159146
526.4321026158177,601.6366887037916,564.0343956598047,17.61282208825572,185008,11.568559469505136,11.568559646606445,6.07761840853982e-10,-2.249044624035216e-10,2.7508333348778713e-07,-0.07661902932047937,-0.0003554893985004838,-0.07661904626132099,-0.0003554891735960267
601.6366887037916,676.8412747917655,639.2389817477786,19.961198366689814,209617,9.520414524630187,9.520414352416992,-1.6691643622834818e-09,-1.0905890677636101e-09,2.742516314830185e-07,-0.07124804428058873,-0.0008600565605379796,-0.07124836465258078,-0.0008600554699489115
676.8412747917655,752.0458608797395,714.4435678357524,22.309574645123906,234305,7.976768856195078,7.976768970489502,9.46079659058796e-10,1.0161459596243184e-09,2.1607638684083328e-07,-0.05592426497955394,0.0009404206976370661,-0.055924412935596024,0.000940419681491105
752.0458608797395,827.2504469677135,789.6481539237266,24.65795092355801,258840,6.757371989739354,6.75737190246582,-1.8285817304786178e-10,-4.9321398188990947e-11,1.3910004463074202e-07,-0.08459380139632966,-0.015073419281354904,-0.08459382366389523,-0.015073419232033515
827.2504469677135,902.4550330556874,864.8527400117005,27.0063272019921,277671,5.893868911243072,5.893868923187256,5.082883891560641e-08,0.009235017891786216,0.024555099513288724,-0.09591167186645322,0.006952474867405608,-0.10633300509440868,-0.0022825430243806183
902.4550330556874,977.6596191436613,940.0573260996744,29.354703480426195,192795,5.333819400476233,5.333962440490723,1.3591102288046386e-07,0.010256678373878406,0.027543152642120414,-0.0777159663448117,-0.0030858004423025003,-0.08766580177458216,-0.013342478816180905
977.6596191436613,1052.8642052316354,1015.2619121876484,31.703079758860294,91266,4.924577946986949,4.931364059448242,0.0014669734354111341,-0.000952221872241324,0.032931138553912755,0.015405062296109495,0.07468135028337998,0.016398327500156018,0.07563357215562132
1052.8642052316354,1128.0687913196093,1090.4664982756224,34.05145603729439,1353,4.763663223648097,4.695480823516846,-0.06930234997715079,-0.07110225676341711,0.017827348592520508,0.0630825187256665,0.11903508832873336,0.1370425905462156,0.1901373450921505
